trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.95, 'e': 0.995}",25,0,-185.9110396479399,"{0: 15, 1: 0, 2: 5, 3: 2, 4: 3}",0
2,False,"{'a': 0.95, 'e': 0.99}",20,0,-162.43195956841944,"{0: 9, 1: 3, 2: 4, 3: 2, 4: 2}",0
3,False,"{'a': 0.95, 'e': 0.985}",20,0,-202.93023487688788,"{0: 7, 1: 5, 2: 4, 3: 1, 4: 3}",0
4,False,"{'a': 0.95, 'e': 0.98}",20,0,-150.19970654619468,"{0: 8, 1: 4, 2: 6, 3: 0, 4: 2}",0
5,False,"{'a': 0.95, 'e': 0.975}",25,0,-147.87702441639374,"{0: 13, 1: 4, 2: 6, 3: 0, 4: 2}",0
6,False,"{'a': 0.95, 'e': 0.97}",25,0,-150.98973458049542,"{0: 16, 1: 2, 2: 2, 3: 3, 4: 2}",0
7,False,"{'a': 0.95, 'e': 0.965}",30,0,-153.03119718802824,"{0: 17, 1: 6, 2: 5, 3: 0, 4: 2}",0
8,False,"{'a': 0.95, 'e': 0.96}",20,0,-84.82526751931604,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
9,False,"{'a': 0.95, 'e': 0.955}",25,0,-190.42876097662207,"{0: 12, 1: 6, 2: 3, 3: 1, 4: 3}",0
10,False,"{'a': 0.95, 'e': 0.95}",30,13,-31.136914745258636,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 0}",1
11,False,"{'a': 0.95, 'e': 0.945}",25,0,-95.9868212444026,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
12,False,"{'a': 0.95, 'e': 0.94}",20,0,-31.178279696627765,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
13,False,"{'a': 0.95, 'e': 0.9349999999999999}",20,0,-90.21857774796713,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
14,False,"{'a': 0.95, 'e': 0.9299999999999999}",25,0,-155.46022050886705,"{0: 14, 1: 5, 2: 1, 3: 3, 4: 2}",0
15,False,"{'a': 0.95, 'e': 0.9249999999999999}",25,0,-171.19565380836184,"{0: 13, 1: 3, 2: 5, 3: 2, 4: 2}",0
16,False,"{'a': 0.95, 'e': 0.9199999999999999}",30,0,-145.64205801366145,"{0: 20, 1: 3, 2: 3, 3: 2, 4: 2}",0
17,False,"{'a': 0.95, 'e': 0.9149999999999999}",25,0,-123.5979273076743,"{0: 14, 1: 4, 2: 4, 3: 2, 4: 1}",0
18,False,"{'a': 0.95, 'e': 0.9099999999999999}",20,0,-121.17998097325561,"{0: 14, 1: 0, 2: 2, 3: 2, 4: 2}",0
19,False,"{'a': 0.95, 'e': 0.9049999999999999}",25,0,-160.2063334977737,"{0: 15, 1: 1, 2: 5, 3: 2, 4: 2}",0
20,False,"{'a': 0.95, 'e': 0.8999999999999999}",20,0,-38.4406978336237,"{0: 16, 1: 1, 2: 1, 3: 2, 4: 0}",0
21,False,"{'a': 0.95, 'e': 0.8949999999999999}",25,0,-53.527441595409876,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
22,False,"{'a': 0.95, 'e': 0.8899999999999999}",20,0,-52.26850767122776,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
23,False,"{'a': 0.95, 'e': 0.8849999999999999}",30,0,-124.14170475421204,"{0: 18, 1: 8, 2: 2, 3: 0, 4: 2}",0
24,False,"{'a': 0.95, 'e': 0.8799999999999999}",30,0,-178.92052217035047,"{0: 16, 1: 2, 2: 9, 3: 1, 4: 2}",0
25,False,"{'a': 0.95, 'e': 0.8749999999999999}",30,0,-228.09786452308728,"{0: 13, 1: 6, 2: 7, 3: 1, 4: 3}",0
26,False,"{'a': 0.95, 'e': 0.8699999999999999}",25,0,-139.9774683281181,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
27,False,"{'a': 0.95, 'e': 0.8649999999999999}",35,0,-204.2700372939127,"{0: 25, 1: 3, 2: 0, 3: 3, 4: 4}",0
28,False,"{'a': 0.95, 'e': 0.8599999999999999}",20,0,-78.82729695873097,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
29,False,"{'a': 0.95, 'e': 0.8549999999999999}",30,0,-117.66381139582273,"{0: 23, 1: 2, 2: 2, 3: 0, 4: 3}",0
30,False,"{'a': 0.95, 'e': 0.8499999999999999}",20,0,-135.9687927822262,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
31,False,"{'a': 0.95, 'e': 0.8449999999999999}",20,3,-58.55387934880648,"{0: 10, 1: 1, 2: 5, 3: 1, 4: 0}",1
32,False,"{'a': 0.95, 'e': 0.8399999999999999}",30,0,-121.66587554444725,"{0: 19, 1: 5, 2: 4, 3: 0, 4: 2}",0
33,False,"{'a': 0.95, 'e': 0.8349999999999999}",20,10,-32.073941470387794,"{0: 6, 1: 0, 2: 4, 3: 0, 4: 0}",1
34,False,"{'a': 0.95, 'e': 0.8299999999999998}",25,0,-144.91626325317543,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
35,False,"{'a': 0.95, 'e': 0.8249999999999998}",30,0,-30.544815041823615,"{0: 22, 1: 5, 2: 3, 3: 0, 4: 0}",1
36,False,"{'a': 0.95, 'e': 0.8199999999999998}",30,0,-200.60593755534163,"{0: 17, 1: 3, 2: 6, 3: 1, 4: 3}",0
37,False,"{'a': 0.95, 'e': 0.8149999999999998}",20,10,-64.22671246777321,"{0: 4, 1: 4, 2: 1, 3: 0, 4: 1}",1
38,False,"{'a': 0.95, 'e': 0.8099999999999998}",25,0,-107.5379154743614,"{0: 14, 1: 5, 2: 4, 3: 1, 4: 1}",0
39,False,"{'a': 0.95, 'e': 0.8049999999999998}",20,0,-77.21411982075588,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
40,False,"{'a': 0.95, 'e': 0.7999999999999998}",30,0,-54.63059617588608,"{0: 20, 1: 4, 2: 6, 3: 0, 4: 0}",0
41,False,"{'a': 0.95, 'e': 0.7949999999999998}",20,5,-18.26357550394156,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 0}",1
42,False,"{'a': 0.95, 'e': 0.7899999999999998}",20,0,-31.608564268295684,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
43,False,"{'a': 0.95, 'e': 0.7849999999999998}",30,0,-39.41626757788684,"{0: 22, 1: 5, 2: 2, 3: 1, 4: 0}",0
44,False,"{'a': 0.95, 'e': 0.7799999999999998}",25,1,-73.65470215397487,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 1}",1
45,False,"{'a': 0.95, 'e': 0.7749999999999998}",25,0,-113.75609751198515,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
46,False,"{'a': 0.95, 'e': 0.7699999999999998}",20,0,-47.04843976790794,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
47,False,"{'a': 0.95, 'e': 0.7649999999999998}",20,0,-187.10614949045168,"{0: 10, 1: 1, 2: 5, 3: 1, 4: 3}",0
48,False,"{'a': 0.95, 'e': 0.7599999999999998}",25,12,11.496489496394254,"{0: 11, 1: 2, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.95, 'e': 0.7549999999999998}",20,0,-36.188758498064374,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
50,False,"{'a': 0.95, 'e': 0.7499999999999998}",30,15,-36.19164331532002,"{0: 10, 1: 0, 2: 5, 3: 0, 4: 0}",1
51,False,"{'a': 0.95, 'e': 0.7449999999999998}",20,9,-91.25775589217335,"{0: 6, 1: 0, 2: 2, 3: 2, 4: 1}",1
52,False,"{'a': 0.95, 'e': 0.7399999999999998}",25,0,-102.28307736545365,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
53,False,"{'a': 0.95, 'e': 0.7349999999999998}",20,0,-17.056557567342207,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
54,False,"{'a': 0.95, 'e': 0.7299999999999998}",30,6,-28.87311739745339,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 0}",1
55,False,"{'a': 0.95, 'e': 0.7249999999999998}",25,5,-134.2623318894543,"{0: 12, 1: 2, 2: 2, 3: 2, 4: 2}",1
56,False,"{'a': 0.95, 'e': 0.7199999999999998}",25,1,-182.97372534629073,"{0: 14, 1: 2, 2: 3, 3: 2, 4: 3}",1
57,False,"{'a': 0.95, 'e': 0.7149999999999997}",30,0,-151.89295263231787,"{0: 22, 1: 0, 2: 4, 3: 1, 4: 3}",0
58,False,"{'a': 0.95, 'e': 0.7099999999999997}",30,0,-31.30963739610671,"{0: 25, 1: 3, 2: 1, 3: 0, 4: 1}",0
59,False,"{'a': 0.95, 'e': 0.7049999999999997}",25,0,-166.32444757253927,"{0: 14, 1: 3, 2: 3, 3: 3, 4: 2}",0
60,False,"{'a': 0.95, 'e': 0.6999999999999997}",20,0,-21.559379286651758,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
61,False,"{'a': 0.95, 'e': 0.6949999999999997}",25,0,-235.7556784774353,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 6}",0
62,False,"{'a': 0.95, 'e': 0.6899999999999997}",25,0,-139.1638442638682,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 3}",0
63,False,"{'a': 0.95, 'e': 0.6849999999999997}",25,0,-41.27166732968987,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
64,False,"{'a': 0.95, 'e': 0.6799999999999997}",35,5,-66.32274090637469,"{0: 24, 1: 3, 2: 1, 3: 0, 4: 2}",1
65,False,"{'a': 0.95, 'e': 0.6749999999999997}",20,0,-34.89115646226459,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
66,False,"{'a': 0.95, 'e': 0.6699999999999997}",30,6,-17.967297482089027,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 1}",1
67,False,"{'a': 0.95, 'e': 0.6649999999999997}",30,8,-64.70203174701656,"{0: 15, 1: 3, 2: 3, 3: 0, 4: 1}",1
68,False,"{'a': 0.95, 'e': 0.6599999999999997}",20,0,-48.007585477117324,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
69,False,"{'a': 0.95, 'e': 0.6549999999999997}",35,16,-49.93138493137775,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 1}",1
