trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.95, 'e': 0.995}",25,0,-78.49383468657827,"{0: 17, 1: 4, 2: 2, 3: 1, 4: 1}",0
2,False,"{'a': 0.95, 'e': 0.99}",30,0,-194.27263802025135,"{0: 14, 1: 5, 2: 8, 3: 1, 4: 2}",0
3,False,"{'a': 0.95, 'e': 0.985}",25,0,-174.97399122716206,"{0: 11, 1: 4, 2: 7, 3: 1, 4: 2}",0
4,False,"{'a': 0.95, 'e': 0.98}",35,3,-70.84420029630608,"{0: 20, 1: 5, 2: 7, 3: 0, 4: 0}",1
5,False,"{'a': 0.95, 'e': 0.975}",25,0,-131.8194372521845,"{0: 12, 1: 5, 2: 6, 3: 1, 4: 1}",0
6,False,"{'a': 0.95, 'e': 0.97}",25,0,-82.63292617828829,"{0: 14, 1: 5, 2: 5, 3: 1, 4: 0}",0
7,False,"{'a': 0.95, 'e': 0.965}",35,0,-195.2783861773158,"{0: 20, 1: 4, 2: 6, 3: 3, 4: 2}",0
8,False,"{'a': 0.95, 'e': 0.96}",20,0,-138.3997251664102,"{0: 9, 1: 4, 2: 5, 3: 0, 4: 2}",0
9,False,"{'a': 0.95, 'e': 0.955}",25,0,-121.73705097531881,"{0: 11, 1: 4, 2: 9, 3: 1, 4: 0}",0
10,False,"{'a': 0.95, 'e': 0.95}",20,0,-226.08056507298534,"{0: 8, 1: 2, 2: 5, 3: 1, 4: 4}",0
11,False,"{'a': 0.95, 'e': 0.945}",30,0,-320.6237509072317,"{0: 13, 1: 2, 2: 8, 3: 2, 4: 5}",0
12,False,"{'a': 0.95, 'e': 0.94}",30,0,-153.55396101838224,"{0: 19, 1: 3, 2: 4, 3: 2, 4: 2}",0
13,False,"{'a': 0.95, 'e': 0.9349999999999999}",20,9,-16.44903781704547,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 0}",1
14,False,"{'a': 0.95, 'e': 0.9299999999999999}",20,8,-59.79764747985304,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 1}",1
15,False,"{'a': 0.95, 'e': 0.9249999999999999}",20,0,-110.65240361707765,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
16,False,"{'a': 0.95, 'e': 0.9199999999999999}",30,0,-147.6577839372926,"{0: 16, 1: 4, 2: 7, 3: 2, 4: 1}",0
17,False,"{'a': 0.95, 'e': 0.9149999999999999}",25,0,-117.52041558369876,"{0: 10, 1: 9, 2: 5, 3: 0, 4: 1}",0
18,False,"{'a': 0.95, 'e': 0.9099999999999999}",20,0,-97.3180817978086,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
19,False,"{'a': 0.95, 'e': 0.9049999999999999}",30,0,-162.3954964250704,"{0: 17, 1: 4, 2: 6, 3: 1, 4: 2}",0
20,False,"{'a': 0.95, 'e': 0.8999999999999999}",30,0,-183.24142500123565,"{0: 17, 1: 4, 2: 4, 3: 3, 4: 2}",0
1,True,"{'a': 0, 'e': 0}",20,0,-94.33273223667355,"{0: 12, 1: 2, 2: 2, 3: 4, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",25,0,-63.295393199035175,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",25,0,-108.10106977277981,"{0: 15, 1: 1, 2: 8, 3: 0, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",20,16,5.88535727110648,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,0,-116.11258973525665,"{0: 12, 1: 0, 2: 5, 3: 2, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",25,0,-106.01953890966199,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
7,True,"{'a': 0, 'e': 0}",20,0,-236.86401350851065,"{0: 8, 1: 2, 2: 5, 3: 1, 4: 4}",0
8,True,"{'a': 0, 'e': 0}",20,0,-42.824430131242494,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",25,0,-113.81462899723329,"{0: 12, 1: 8, 2: 3, 3: 1, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",20,0,-53.901147977098255,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
11,True,"{'a': 0, 'e': 0}",25,0,-195.87802546280608,"{0: 11, 1: 5, 2: 3, 3: 4, 4: 2}",0
12,True,"{'a': 0, 'e': 0}",20,0,-113.43800832009474,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
13,True,"{'a': 0, 'e': 0}",25,0,-62.23094467873038,"{0: 18, 1: 0, 2: 6, 3: 1, 4: 0}",0
14,True,"{'a': 0, 'e': 0}",20,0,-68.1572085573955,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
15,True,"{'a': 0, 'e': 0}",20,0,-162.50989136395737,"{0: 9, 1: 4, 2: 3, 3: 2, 4: 2}",0
16,True,"{'a': 0, 'e': 0}",25,8,-125.84072589268902,"{0: 7, 1: 4, 2: 4, 3: 0, 4: 2}",1
17,True,"{'a': 0, 'e': 0}",20,0,-187.33460972663852,"{0: 9, 1: 1, 2: 7, 3: 0, 4: 3}",0
18,True,"{'a': 0, 'e': 0}",25,0,-125.79236336974897,"{0: 17, 1: 5, 2: 0, 3: 0, 4: 3}",0
19,True,"{'a': 0, 'e': 0}",25,0,-161.89499154660697,"{0: 11, 1: 3, 2: 8, 3: 2, 4: 1}",0
20,True,"{'a': 0, 'e': 0}",25,0,-120.29070773560858,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
21,True,"{'a': 0, 'e': 0}",25,0,-99.22865846701664,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
